"","Country/Territory","A","A1","A2","A3","B","B1","B2","D","D1","D2","E","E1","E2","E3","F","PR","CL","Country"
"1","Austria",1,1,1,1,0.9375,1,1,0.875,0.75,0.75,1,1,1,1,0.9375,0.925,0.933333333333333,"AT"
"2","Belgium",1,1,1,1,1,1,1,0.9375,1,0.75,1,1,1,1,0.9375,0.975,0.95,"BE"
"3","Bulgaria",0.916666666666667,1,1,0.75,0.875,1,1,0.8125,0.5,0.75,0.916666666666667,1,1,0.75,0.625,0.825,0.766666666666667,"BU"
"4","Croatia",1,1,1,1,0.875,1,1,0.8125,0.75,0.75,1,1,1,1,0.6875,0.875,0.816666666666667,"HR"
"5","Cyprus",1,1,1,1,0.9375,1,1,0.9375,1,1,0.916666666666667,1,0.75,1,0.9375,0.95,0.9,"CY"
"6","Czech Republic",1,1,1,1,0.9375,1,1,0.9375,1,0.75,1,1,1,1,0.875,0.9,0.933333333333333,"CZ"
"7","Denmark",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,1,0.95,"DK"
"8","Estonia",1,1,1,1,0.9375,1,1,1,1,1,1,1,1,1,0.875,0.95,0.933333333333333,"EE"
"9","Finland",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"FI"
"10","France",1,1,1,1,0.9375,1,1,0.875,1,0.75,0.833333333333333,0.75,0.75,1,0.8125,0.95,0.85,"FR"
"11","Germany",1,1,1,1,0.9375,1,1,0.875,1,0.75,1,1,1,1,0.875,0.975,0.916666666666667,"DE"
"12","Greece",1,1,1,1,0.9375,1,1,0.875,0.75,0.75,1,1,1,1,0.6875,0.875,0.85,"EL"
"13","Hungary",0.583333333333333,0.5,0.5,0.75,0.6875,0.75,0.5,0.625,0.5,0.75,0.75,1,0.5,0.75,0.625,0.6,0.7,"HU"
"14","Ireland",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,0.975,0.966666666666667,"IE"
"15","Italy",1,1,1,1,0.875,1,1,0.9375,0.75,1,1,1,1,1,0.8125,0.9,0.9,"IT"
"16","Latvia",1,1,1,1,0.9375,1,1,0.875,0.75,1,1,1,1,1,0.6875,0.925,0.85,"LV"
"17","Lithuania",1,1,1,1,1,1,1,0.9375,0.75,1,0.916666666666667,1,1,0.75,0.6875,0.95,0.85,"LT"
"18","Luxembourg",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9375,0.95,0.983333333333333,"LU"
"19","Malta",1,1,1,1,0.875,0.75,1,0.875,0.75,1,1,1,1,1,0.875,0.875,0.9,"MT"
"20","Netherlands",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9375,0.975,0.966666666666667,"NL"
"21","Poland",0.833333333333333,0.75,1,0.75,1,1,1,0.8125,0.75,1,0.833333333333333,0.75,0.75,1,0.625,0.85,0.783333333333333,"PL"
"22","Portugal",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,0.975,0.95,"PT"
"23","Romania",1,1,1,1,0.875,1,1,0.8125,0.75,0.75,0.916666666666667,1,1,0.75,0.75,0.875,0.8,"RO"
"24","Slovakia",1,1,1,1,0.9375,1,1,0.9375,0.75,1,1,1,1,1,0.75,0.925,0.883333333333333,"SK"
"25","Slovenia",1,1,1,1,1,1,1,0.875,0.5,1,1,1,1,1,0.9375,0.975,0.933333333333333,"SI"
"26","Spain",1,1,1,1,1,1,1,0.875,0.75,1,0.916666666666667,0.75,1,1,0.8125,0.925,0.883333333333333,"ES"
"27","Sweden",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"SE"
