"","Country","FRS_Extent of concern for experiencing political intimidation during election campaigns in the country","FRS_Views on the ability of NGOs to do their work free from government intimidation","FRS_Awareness of the right to send complaints to the European Ombudsman","FRS_Awareness of the right to make a petition to the European Parliament","FRS_Awareness of the right to move and live freely in the EU","FRS_Awareness of the right to vote in the European Parliament elections when living in another EU Member State","FRS_Awareness of a law that forbids discriminating against job applicants - Because of their age","FRS_Awareness of a law that forbids discriminating against job applicants - Because they are a man","FRS_Awareness of a law that forbids discriminating against job applicants - Because they are a woman","FRS_Awareness of a law that forbids discriminating against job applicants - Because they have a disability","FRS_Awareness of a law that forbids discriminating against job applicants - Because of their ethnic origin","FRS_Awareness of a law that forbids discriminating against job applicants - Because of their skin colour","FRS_Awareness of a law that forbids discriminating against job applicants - Because of their religion or belief","FRS_Awareness of a law that forbids discriminating against job applicants - Because of their sexual orientation","FRS_Awareness of a law that forbids discriminating against job applicants - Because of their gender identity","FRS_Awareness of laws that forbid discriminating against job applicants - Because they are overweight/obese","FRS_Awareness of the General Data Protection Regulation (GDPR)","FRS_Discrimination in employment on any grounds, in the past 5 years","FRS_Discrimination in employment on any grounds, in the past 12 months","FRS_Discrimination when using selected services, on any grounds, in the past 5 years","FRS_Discrimination when using selected services, on any grounds, in the past 12 months","FRS_Statements on gender equality - Attention given to sexual harassment at work","FRS_Statements on gender equality - Working in a management position","FRS_Statements on gender equality - Care responsibilities involving children","FRS_Statements on gender equality - Ensuring equal pay","FRS_Experience of not being equally treated by public administration or local authorities","FRS_Worry about experiencing a burglary","FRS_Worry about experiencing a terrorist attack","FRS_Worry about experiencing misuse of online bank account or payment card","FRS_Worry about experiencing a theft of mobile phone, wallet or purse","FRS_Witnessing a crime against the environment - willingness to intervene","FRS_Witnessing an incident of intimate partner violence - willingness to intervene","FRS_Witnessing a parent slap their child - willingness to intervene","FRS_Experiences of physical violence in the past 5 years","FRS_Experiences of physical violence in the past 12 months","FRS_Experiences of harassment in the past 5 years","FRS_Experiences of harassment in the past 12 months","FRS_Experiences of in-person harassment in the past 5 years","FRS_Experiences of cyberharassment in the past 5 years","FRS_Experiences of in-person harassment in the past 12 months","FRS_Experiences of cyberharassment in the past 12 months","FRS_Experiences of burglary in the past 5 years","FRS_Experiences of burglary in the past 12 months","FRS_Experiences of online banking or payment card fraud in the past 5 years","FRS_Experiences of online banking or payment card fraud in the past 12 months","FRS_Experiences of consumer fraud in the past 5 years","FRS_Experiences of consumer fraud in the past 12 months","FRS_Views on the ability of judges to do their job free from government influence","FRS_Views on authorities providing information for people in a simple way","FRS_Views on authorities providing information about people's rights and entitlements","FRS_Views on authorities making information easy to find online","FRS_Views on authorities making information easy to find without using the internet","FRS_Awareness of the European Convention on Human Rights","FRS_Awareness of the EU Charter of Fundamental Rights","FRS_Awareness of the Universal Declaration of Human Rights","FRS_Awareness of the national gender equality body","FRS_Awareness of the national racial equality body","FRS_Awareness of the national human rights institution","FRS_Awareness of the national supervisory authority for data protection"
"1","AT",0.772727272727273,0.460481099656357,0.717171717171717,0.612244897959184,0.94,0.828282828282828,0.41,0.34,0.44,0.53,0.46,0.42,0.46,0.4,0.35,0.24,0.86,0.72,0.85,0.8,0.87,0.56,0.94,0.386138613861386,0.96,0.08,0.556666666666667,0.602693602693603,0.44,0.463333333333333,0.68,0.57,0.8,0.87,0.93,0.43,0.57,0.47,0.84,0.61,0.89,0.9,0.96,0.94,0.98,0.65,0.76,0.52,0.72,0.72,0.775,0.685,0.87,0.49,0.78,0.32,0.32,0.85,0.87
"2","BE",0.877551020408163,0.457446808510638,0.870967741935484,0.797872340425532,0.865979381443299,0.852631578947368,0.54,0.49,0.47,0.48,0.49,0.42,0.45,0.51,0.4,0.27,0.464646464646465,0.76,0.86,0.84,0.91,0.505102040816327,0.94,0.5,0.95,0.101010101010101,0.54,0.562289562289562,0.44,0.486666666666667,0.656565656565657,0.666666666666667,0.510204081632653,0.86,0.94,0.48,0.62,0.5,0.84,0.65,0.9,0.87,0.96,0.92,0.96,0.75,0.83,0.463917525773196,0.737373737373737,0.627551020408163,0.75,0.602040816326531,0.808080808080808,0.46,0.737373737373737,0.64,0.27,0.27,0.44
"3","BU",0.824742268041237,0.391666666666667,0.858823529411765,0.845238095238095,0.946236559139785,0.897727272727273,0.31,0.19,0.19,0.41,0.3,0.23,0.26,0.19,0.17,0.1,0.711340206185567,0.85,0.93,0.91,0.95,0.385869565217391,0.923469387755102,0.131313131313131,0.918367346938776,0.148936170212766,0.421768707482993,0.625,0.505154639175258,0.454545454545455,0.427083333333333,0.357894736842105,0.431578947368421,0.95,0.98,0.78,0.86,0.79,0.95,0.87,0.97,0.91,0.97,0.97,0.99,0.78,0.86,0.311355311355311,0.731182795698925,0.668478260869565,0.689873417721519,0.613636363636364,0.767676767676768,0.622448979591837,0.65979381443299,0.67,0.67,0.87,0.808080808080808
"4","CY",0.943298969072165,0.480769230769231,0.923913043478261,0.679012345679012,0.9375,0.843373493975904,0.19,0.11,0.12,0.22,0.17,0.1,0.12,0.1,0.1,0.08,0.65,0.88,0.94,0.96,0.98,0.43452380952381,0.964646464646465,0.135,0.97,0.0714285714285714,0.306666666666667,0.717171717171717,0.656666666666667,0.48,0.52,0.56,0.777777777777778,0.96,0.98,0.85,0.89,0.85,0.96,0.89,0.98,0.92,0.97,0.98,1,0.92,0.95,0.428571428571428,0.611764705882353,0.47093023255814,0.592592592592593,0.463235294117647,0.59,0.515151515151515,0.5,0.74,0.74,NA,0.66
"5","CZ",0.828282828282828,0.512027491408935,0.802083333333333,0.739583333333333,0.909090909090909,0.822916666666667,0.5,0.28,0.35,0.54,0.43,0.4,0.41,0.33,0.25,0.16,0.868686868686869,0.76,0.89,0.86,0.94,0.346938775510204,0.885,0.32,0.905,0.111111111111111,0.536666666666667,0.623333333333333,0.433333333333333,0.373737373737374,0.666666666666667,0.44,0.2,0.84,0.91,0.55,0.68,0.59,0.83,0.71,0.89,0.92,0.98,0.97,0.99,0.66,0.78,0.520408163265306,0.752525252525253,0.686868686868687,0.752577319587629,0.622448979591837,0.73,0.777777777777778,0.777777777777778,0.81,0.81,NA,0.9
"6","DE",0.745,0.486394557823129,0.81,0.77,0.92,0.84,0.48,0.34,0.5,0.63,0.49,0.45,0.5,0.41,0.38,0.22,0.77,0.71,0.82,0.85,0.89,0.651515151515152,0.895,0.415,0.94,0.07,0.526666666666667,0.493333333333333,0.410774410774411,0.448844884488449,0.53,0.54,0.69,0.88,0.91,0.43,0.57,0.47,0.77,0.62,0.83,0.89,0.95,0.91,0.96,0.68,0.8,0.461279461279461,0.7,0.705,0.747474747474748,0.675,0.71,0.45,0.53,0.25,0.25,0.41,0.64
"7","DK",0.935,0.655677655677656,0.909090909090909,0.556701030927835,0.868686868686869,0.814432989690722,0.55,0.52,0.57,0.57,0.56,0.55,0.58,0.53,0.44,0.28,0.59,0.79,0.88,0.89,0.93,0.44,0.929292929292929,0.735,0.945,0.164948453608247,0.55,0.54,0.38,0.46,0.555555555555556,0.47,0.71,0.87,0.93,0.51,0.65,0.54,0.84,0.69,0.89,0.86,0.97,0.85,0.94,0.65,0.78,0.676767676767677,0.67,0.636363636363636,0.693877551020408,0.381443298969072,0.85,0.202020202020202,0.64,0.51,0.86,0.86,0.85
"8","EE",0.865,0.494845360824742,0.846938775510204,0.724489795918367,0.95959595959596,0.88659793814433,0.39,0.22,0.26,0.37,0.28,0.26,0.28,0.23,0.21,0.14,0.38,0.71,0.85,0.85,0.91,0.44,0.945,0.485,0.940594059405941,0.112244897959184,0.569023569023569,0.57,0.45,0.455445544554455,0.585858585858586,0.37,0.404040404040404,0.82,0.9,0.52,0.67,0.55,0.84,0.7,0.9,0.89,0.97,0.95,0.98,0.54,0.67,0.580756013745705,0.707070707070707,0.635,0.717171717171717,0.52020202020202,0.72,0.61,0.68,0.64,0.64,0.86,0.86
"9","EL",0.896907216494846,0.41869918699187,0.789473684210526,0.753246753246753,0.956521739130435,0.8125,0.3,0.15,0.24,0.43,0.28,0.22,0.22,0.21,0.19,0.1,0.696969696969697,0.84,0.91,0.96,0.98,0.56043956043956,0.918367346938775,0.11,0.954081632653061,0.0729166666666667,0.313531353135313,0.74,0.498281786941581,0.306397306397306,0.474747474747475,0.489795918367347,0.642857142857143,0.95,0.97,0.71,0.81,0.72,0.96,0.82,0.98,0.93,0.98,0.99,0.99,0.83,0.9,0.4,0.684210526315789,0.544444444444445,0.72,0.488636363636364,0.43298969072165,0.402061855670103,0.412371134020619,0.91,0.91,0.64,0.69
"10","ES",0.798969072164949,0.381481481481482,0.921348314606742,0.842696629213483,0.936842105263158,0.923076923076923,0.34,0.21,0.36,0.48,0.33,0.31,0.31,0.29,0.31,0.17,0.74,0.74,0.86,0.9,0.95,0.458333333333333,0.96969696969697,0.66,0.96,0.154639175257732,0.32,0.276666666666667,0.216666666666667,0.245791245791246,0.646464646464647,0.714285714285714,0.397959183673469,0.93,0.97,0.64,0.75,0.65,0.89,0.76,0.93,0.92,0.98,0.93,0.97,0.73,0.85,0.343971631205674,0.704081632653061,0.666666666666667,0.64367816091954,0.59375,0.686868686868687,0.616161616161616,0.777777777777778,0.63,0.29,0.84,0.82
