"","Country","JSB_DT.Non-criminal","JSB_CR.Non-criminal","JSB_Comp.av.length.NCA","JSB_Consumers.admin","JSB_Lawyers"
"1","AT",61.0053834913766,0.998012916523884,1257,NA,76.5681519477434
"2","BE",NA,1.04542940282749,1021,NA,165.623162659907
"3","BG",91.3006536688153,1.01240111366302,0,59,198.934425042956
"4","CY",947.47574077283,0.813217783414359,2246,NA,483.806786780148
"5","CZ",158.934263357384,1.02623859480953,1028,151.5,117.812543413066
"6","DE",NA,NA,1191,0,198.934071773071
"7","DK",17.2997060810463,1.00332441040169,962,218,120.253617142993
"8","EE",27.4467620126941,0.990001298131309,0,NA,80.7477512427936
"9","EL",663.696614220443,0.91175236298535,1200,NA,404.920780114906
"10","ES",264.602339721462,1.01659423803281,915,92,304.922904206307
"11","FI",87.7911724732522,1.02341479355807,0,302,75.2130269755766
"12","FR",440.276500944165,1.05300222806402,NA,223,104.684588767634
"13","HR",119.941522295028,0.973383024533421,0,NA,129.189456260123
"14","HU",65.15655671812,1.03697145838954,1323,401,119.898730623665
"15","IE",NA,NA,0,NA,NA
"16","IT",380.97416161943,1.06819633249672,NA,NA,389.574156484969
"17","LT",64.7609447159454,1.01084191991653,572,45,81.1475988222372
"18","LU",158.343103980253,0.991055729684275,1660.2,NA,503.10119197951
"19","LV",29.8843284669406,1.00166959526909,729,194,72.0242547408859
"20","MT",350.195632009444,0.892190791453506,0,NA,254.988355015094
"21","NL",75.5875467203352,1.03498650313325,353,70,103.417128544727
"22","PL",107.278282399006,1.01704845938391,871,405,156.571623608486
"23","PT",NA,NA,NA,837,327.829040879085
"24","RO",160.404697886928,1.02441764503906,1338,45,122.428196346085
"25","SE",116.987785063124,1.03405669424805,0,172,61.5748111951349
"26","SI",54.2883002660697,1.02068480370391,767,17,88.0798033390598
"27","SK",83.1788168047293,1.00344393165315,1456,313.4,119.031146452655
