"","Country","OCI_Criminality avg,","OCI_Criminal markets avg,","OCI_Human trafficking","OCI_Human smuggling","OCI_Arms trafficking","OCI_Flora crimes","OCI_Fauna crimes","OCI_Non-renewable resource crimes","OCI_Heroin trade","OCI_Cocaine trade","OCI_Cannabis trade","OCI_Synthetic drug trade","OCI_Criminal actors avg,","OCI_Mafia-style groups","OCI_Criminal networks","OCI_State-embedded actors","OCI_Foreign actors","OCI_Resilience avg,","OCI_Political leadership and governance","OCI_Government transparency and accountability","OCI_International cooperation","OCI_National policies and laws","OCI_Judicial system and detention","OCI_Law enforcement","OCI_Territorial integrity","OCI_Anti-money laundering","OCI_Economic regulatory capacity","OCI_Victim and witness support","OCI_Prevention","OCI_Non-state actors"
"1","AT",0.652222222222222,0.647777777777778,0.611111111111111,0.444444444444444,0.5,0.888888888888889,0.833333333333333,0.888888888888889,0.666666666666667,0.666666666666667,0.611111111111111,0.555555555555556,0.655555555555556,1,0.666666666666667,0.666666666666667,0.388888888888889,0.722222222222222,0.722222222222222,0.611111111111111,0.722222222222222,0.777777777777778,0.833333333333333,0.833333333333333,0.722222222222222,0.611111111111111,0.666666666666667,0.777777777777778,0.722222222222222,0.666666666666667
"2","BE",0.618888888888889,0.536666666666667,0.555555555555556,0.444444444444444,0.444444444444444,0.777777777777778,0.722222222222222,0.666666666666667,0.666666666666667,0.222222222222222,0.388888888888889,0.277777777777778,0.7,0.777777777777778,0.555555555555556,0.888888888888889,0.555555555555556,0.671111111111111,0.666666666666667,0.666666666666667,0.777777777777778,0.722222222222222,0.555555555555556,0.666666666666667,0.555555555555556,0.666666666666667,0.666666666666667,0.722222222222222,0.666666666666667,0.722222222222222
"3","BU",0.483333333333333,0.511111111111111,0.555555555555556,0.5,0.611111111111111,0.444444444444444,0.611111111111111,0.555555555555556,0.444444444444444,0.611111111111111,0.5,0.388888888888889,0.455555555555555,0.555555555555556,0.333333333333333,0.277777777777778,0.555555555555556,0.481111111111111,0.444444444444444,0.555555555555556,0.555555555555556,0.555555555555556,0.444444444444444,0.444444444444444,0.555555555555556,0.5,0.444444444444444,0.444444444444444,0.444444444444444,0.388888888888889
"4","CY",0.618888888888889,0.67,0.5,0.388888888888889,0.833333333333333,0.833333333333333,0.777777777777778,0.888888888888889,0.833333333333333,0.555555555555556,0.611111111111111,0.777777777777778,0.566666666666667,0.722222222222222,0.555555555555556,0.666666666666667,0.333333333333333,0.384444444444444,0.388888888888889,0.388888888888889,0.666666666666667,0.555555555555556,0.388888888888889,0.5,0.166666666666667,0.277777777777778,0.277777777777778,0.388888888888889,0.333333333333333,0.277777777777778
"5","CZ",0.591111111111111,0.57,0.5,0.5,0.555555555555556,0.777777777777778,0.5,0.722222222222222,0.611111111111111,0.555555555555556,0.444444444444444,0.388888888888889,0.611111111111111,0.722222222222222,0.611111111111111,0.555555555555556,0.611111111111111,0.602222222222222,0.611111111111111,0.611111111111111,0.666666666666667,0.666666666666667,0.611111111111111,0.666666666666667,0.666666666666667,0.611111111111111,0.555555555555556,0.444444444444444,0.555555555555556,0.555555555555556
"6","DE",0.518888888888889,0.503333333333333,0.444444444444444,0.333333333333333,0.444444444444444,0.833333333333333,0.666666666666667,0.777777777777778,0.611111111111111,0.333333333333333,0.444444444444444,0.388888888888889,0.533333333333333,0.555555555555556,0.388888888888889,0.888888888888889,0.333333333333333,0.722222222222222,0.611111111111111,0.666666666666667,0.777777777777778,0.777777777777778,0.777777777777778,0.722222222222222,0.833333333333333,0.555555555555556,0.666666666666667,0.777777777777778,0.777777777777778,0.722222222222222
"7","DK",0.664444444444445,0.63,0.666666666666667,0.555555555555556,0.555555555555556,0.888888888888889,0.888888888888889,0.888888888888889,0.611111111111111,0.444444444444444,0.444444444444444,0.555555555555556,0.7,0.5,0.611111111111111,0.888888888888889,0.555555555555556,0.792222222222222,0.888888888888889,0.888888888888889,0.777777777777778,0.888888888888889,0.722222222222222,0.722222222222222,0.777777777777778,0.555555555555556,0.833333333333333,0.722222222222222,0.833333333333333,0.888888888888889
"8","EE",0.638888888888889,0.644444444444444,0.611111111111111,0.722222222222222,0.888888888888889,0.888888888888889,0.888888888888889,0.722222222222222,0.777777777777778,0.666666666666667,0.444444444444444,0.333333333333333,0.633333333333333,0.722222222222222,0.611111111111111,0.888888888888889,0.5,0.764444444444444,0.777777777777778,0.722222222222222,0.833333333333333,0.777777777777778,0.777777777777778,0.722222222222222,0.777777777777778,0.777777777777778,0.722222222222222,0.722222222222222,0.777777777777778,0.777777777777778
"9","EL",0.516666666666667,0.588888888888889,0.5,0.222222222222222,0.722222222222222,0.888888888888889,0.833333333333333,0.777777777777778,0.444444444444444,0.555555555555556,0.5,0.722222222222222,0.444444444444444,0.722222222222222,0.388888888888889,0.277777777777778,0.444444444444444,0.463333333333333,0.444444444444444,0.444444444444444,0.666666666666667,0.555555555555556,0.388888888888889,0.444444444444444,0.5,0.5,0.5,0.333333333333333,0.444444444444444,0.333333333333333
"10","ES",0.455555555555555,0.477777777777778,0.333333333333333,0.333333333333333,0.666666666666667,0.722222222222222,0.555555555555556,0.833333333333333,0.388888888888889,0.277777777777778,0.277777777777778,0.5,0.433333333333333,0.444444444444444,0.333333333333333,0.555555555555556,0.277777777777778,0.638888888888889,0.611111111111111,0.555555555555556,0.833333333333333,0.777777777777778,0.666666666666667,0.777777777777778,0.5,0.611111111111111,0.555555555555556,0.611111111111111,0.5,0.666666666666667
"11","FI",0.78,0.747777777777778,0.722222222222222,0.777777777777778,0.777777777777778,0.944444444444444,0.888888888888889,0.888888888888889,0.722222222222222,0.666666666666667,0.666666666666667,0.555555555555556,0.811111111111111,0.777777777777778,0.777777777777778,0.944444444444444,0.777777777777778,0.847777777777778,0.888888888888889,0.888888888888889,0.888888888888889,0.833333333333333,0.777777777777778,0.833333333333333,0.888888888888889,0.833333333333333,0.888888888888889,0.777777777777778,0.833333333333333,0.833333333333333
"12","FR",0.464444444444444,0.452222222222222,0.444444444444444,0.388888888888889,0.444444444444444,0.666666666666667,0.5,0.555555555555556,0.444444444444444,0.333333333333333,0.333333333333333,0.444444444444444,0.477777777777778,0.444444444444444,0.388888888888889,0.722222222222222,0.333333333333333,0.662222222222222,0.611111111111111,0.666666666666667,0.833333333333333,0.722222222222222,0.611111111111111,0.666666666666667,0.5,0.777777777777778,0.777777777777778,0.444444444444444,0.666666666666667,0.666666666666667
"13","HR",0.538888888888889,0.566666666666667,0.555555555555556,0.388888888888889,0.611111111111111,0.611111111111111,0.722222222222222,0.611111111111111,0.555555555555556,0.388888888888889,0.444444444444444,0.5,0.511111111111111,0.666666666666667,0.388888888888889,0.444444444444444,0.555555555555556,0.546666666666667,0.5,0.555555555555556,0.666666666666667,0.666666666666667,0.5,0.555555555555556,0.611111111111111,0.611111111111111,0.444444444444444,0.555555555555556,0.5,0.388888888888889
