"","Country","SPE_523_qa15_5","SPE_523_qa15_6","SPE_523_qa15_7","SPE_523_qa15_13","SPE_523_qa5","SPE_523_qa6","SPE_523_qa7_2","SPE_523_qa7_4","SPE_523_qa7_8","SPE_523_qa7_9","SPE_523_qa7_12","SPE_523_qa10","SPE_523_qa15_1","SPE_523_qa15_2","SPE_523_qa15_3","SPE_523_qa15_4","SPE_523_qa15_8","SPE_523_qa15_9","SPE_523_qa15_11","SPE_523_qa15_12"
"1","AT",0.48020158387329,0.429032258064516,0.447011367803447,0.440161527165932,0.443161944735922,0.388364779874214,0.843719090009891,0.859545004945598,0.645895153313551,0.649851632047478,0.889218595450049,0.352941176470588,0.421590080233406,0.392455567645992,0.470238095238095,0.767080745341615,0.34180790960452,0.419447434517402,0.513148542999289,0.42128121606949
"2","BE",0.457603844833505,0.339127471029312,0.453360768175583,0.492693110647182,0.473,0.422484599589322,0.81532416502947,0.87721021611002,0.550098231827112,0.583497053045187,0.933202357563851,0.335305719921105,0.393504273504273,0.399316239316239,0.461279461279461,0.796463129796463,0.326890471346219,0.418777440054036,0.457239057239057,0.442399454669393
"3","BG",0.238152130625249,0.235994397759104,0.251461988304094,0.258087968011632,0.210329595650697,0.297837837837838,0.558653846153846,0.753846153846154,0.397115384615385,0.4625,0.799038461538462,0.434824902723735,0.200146359312111,0.170466883821933,0.212121212121212,0.645946928389676,0.184637068357999,0.198396094839609,0.253654970760234,0.209387605427209
"4","CY",0.277777777777778,0.238383838383838,0.244264507422402,0.310109289617486,0.196,0.233805668016194,0.569444444444444,0.742063492063492,0.412698412698413,0.424603174603175,0.805555555555556,0.469061876247505,0.224822695035461,0.181881051175657,0.190669371196755,0.493602693602694,0.156013745704467,0.181818181818182,0.237127371273713,0.217453505007153
"5","CZ",0.323087431693989,0.37258883248731,0.325260679448369,0.408178167214312,0.326094109904574,0.417737154150198,0.839303000968054,0.890609874152953,0.31945788964182,0.519845111326234,0.856727976766699,0.493123772102161,0.285230352303523,0.258400537634409,0.334698055271238,0.717202141900937,0.232118758434548,0.277490520510169,0.499131039277025,0.353388658367911
"6","DE",0.421927773447649,0.368512974051896,0.40168324407039,0.3998476770754,0.451887661141805,0.376434720229555,0.890059249506254,0.905859117840685,0.616194865042791,0.56221198156682,0.91705069124424,0.494701986754967,0.398796630565584,0.390796201607012,0.510733663599906,0.883539660706098,0.288857345635202,0.413074712643678,0.531016171856143,0.473313192346425
"7","DK",0.384673461683654,0.554831704668838,0.510314875135722,0.573138795361018,0.735818992989165,0.448039215686275,0.923368022705771,0.915799432355724,0.802270577105014,0.734153263954588,0.95364238410596,0.46780303030303,0.619946984758118,0.621756487025948,0.743665679499835,0.941875401412974,0.537909836065574,0.667000333667,0.771447282252783,0.741683638832315
"8","EE",0.500454132606721,0.457231040564374,0.447570332480818,0.454014598540146,0.510857142857143,0.534620098039216,0.92154915590864,0.897715988083416,0.699106256206554,0.649453823237339,0.941410129096326,0.419587628865979,0.420924574209246,0.406584362139918,0.568481848184819,0.839822024471635,0.346341463414634,0.453131567885666,0.551455514555146,0.435832274459975
"9","ES",0.372033588901059,0.24306287319986,0.352432432432432,0.406994047619048,0.224940536867142,0.327042399172699,0.733798604187438,0.819541375872383,0.55234297108674,0.498504486540379,0.844466600199402,0.575848303393214,0.213721264367816,0.204243078029486,0.297709923664122,0.553162393162393,0.25337714494341,0.304741223307999,0.447002923976608,0.271862422246615
"10","FI",0.512309495896835,0.477189109639441,0.530836171017783,0.582848273185875,0.712152070604209,0.470842332613391,0.983184965380811,0.961424332344214,0.704253214638971,0.752720079129575,0.970326409495549,0.533932135728543,0.607470049330514,0.612903225806452,0.69661733615222,0.876818950930626,0.39843472073995,0.662798874824191,0.680992313067785,0.577802359882006
